================================================================================
ЛОГ ЗАГРУЗКИ КОНКУРСОВ
Дата: 29.04.2026 10:49:52
Файл: конкурсы минпросвещения (1).xlsx
Режим: add
================================================================================

Создано: 606
Обновлено: 0
Пропущено: 0
Ошибок: 0

ДЕТАЛИ:
--------------------------------------------------------------------------------
Строка 2: CREATE | 1.1. Всероссийская олимпиада школьников (заключительный этап)
Строка 4: CREATE | 1.2. Всероссийская олимпиада школьников (региональный этап)
Строка 6: CREATE | 3.1. Международная биологическая олимпиада (International Biology Olympiad, IBO)
Строка 8: CREATE | 3.2. Открытая международная географическая олимпиада (Open International Geography Olympiad, OpenGEO)
Строка 10: CREATE | 3.3. Международная естественно-научная олимпиада юниоров (Internation Junior Science Olympiad, IJSO)
Строка 12: CREATE | 3.4. Международная математическая олимпиада (International Mathematical Olympiad, IMO)
Строка 14: CREATE | 3.5. Открытая международная астрономическая олимпиада (Open World Astronomy Olympiad, OWAO)
Строка 16: CREATE | 3.6. Международная олимпиада по информатике (International Olympiad in Informatics, IOI)
Строка 18: CREATE | 3.7. Международная физическая олимпиада (International Physics Olympiad, IPhO)
Строка 20: CREATE | 3.8. Международная химическая олимпиада (International Chemistry Olympiad, IChO)
Строка 22: CREATE | 4.11. Чемпионат России по фиджитал спорту (функционально-цифровой спорт) 2025/2026 года
Строка 24: CREATE | 4.12. Всероссийское физкультурное мероприятие "Фиджитал игры" (мужчины и женщины от 16 лет)
Строка 26: CREATE | 4.2. Первенства России по спортивному программированию 2025/26 года
Строка 28: CREATE | 4.7. Международные комплексные соревнования "Спартакиада стран Содружества Независимых Государств среди детей с ограниченными возможностями здоровья" 2025 года
Строка 30: CREATE | 4.8. Первенство России по гонкам дронов (беспилотных воздушных судов) 2025/26 года
Строка 32: CREATE | 5.1. I Международная олимпиада исследователей и исполнителей народной традиционной музыки среди учащихся, студентов и аспирантов
Строка 34: CREATE | 5.10. Международный конкурс вокалистов "Шедевры русской музыки" имени Наталии Шпиллер
Строка 36: CREATE | 5.11. XIII Международный конкурс-фестиваль традиционной культуры и народного художественного творчества "Этномириада"
Строка 38: CREATE | 5.12. XV Всероссийский молодежный конкурс медиаконтента "МедиаКиТ"
Строка 40: CREATE | 5.13. Всероссийский фестиваль-конкурс научно-певческого искусства "Вечные истоки"
Строка 42: CREATE | 5.14. XXII Международный конкурс ЦМШ "Посвящение А.Б. Гольденвейзеру"
Строка 44: CREATE | 5.15. Всероссийская многопрофильная олимпиада Пермского государственного института культуры
Строка 46: CREATE | 5.16. Всероссийская олимпиада по музыкально-теоретическим предметам "Музыкальное измерение"
Строка 48: CREATE | 5.17. Всероссийская олимпиада по социально-культурным технологиям
Строка 50: CREATE | 5.18. Всероссийская олимпиада школьников "Будущее культуры - наше будущее"
Строка 52: CREATE | 5.19. Всероссийская открытая олимпиада по музыкально-теоретическим дисциплинам среди учащихся по программам среднего профессионального образования
Строка 54: CREATE | 5.2. III Всероссийский детский вокальный конкурс Хорового училища имени А.В. Свешникова
Строка 56: CREATE | 5.20. Всероссийская профильная олимпиада по дисциплинам художественно-творческой направленности для учащихся учреждений СПО, ДХШ, ДШИ
Строка 58: CREATE | 5.21. Всероссийская творческая олимпиада вокально-хорового и концертмейстерского искусства с международным участием "Созвучие"
Строка 60: CREATE | 5.22. Всероссийский (с международным участием) открытый онлайн-конкурс исполнителей художественного слова "Классические и современные тексты"
Строка 62: CREATE | 5.23. Всероссийский конкурс декоративно-прикладного творчества и русской каллиграфии "Изограф"
Строка 64: CREATE | 5.24. Всероссийский конкурс исполнителей народной песни "Во матушке, во Москве"
Строка 66: CREATE | 5.25. Всероссийский конкурс театральных рецензий "Пишу о театре"
Строка 68: CREATE | 5.26. Всероссийский открытый конкурс исполнителей на домре, балалайке и гитаре "ДОН ГРАН-ПРИ ЮНИОР"
Строка 70: CREATE | 5.27. Всероссийский студенческий конкурс учащихся ССУЗов в рамках международного фестиваля "Баян и баянисты"
Строка 72: CREATE | 5.28. Всероссийский театральный конкурс имени Елены и Вячеслава Борисовых "Школа кукол"
Строка 74: CREATE | 5.29. Всероссийский художественный конкурс "Словно волшебнику радужной сказки, Бог дал художнику кисти и краски", посвященный 90-летию Палехского художественного училища им. М. Горького"
Строка 76: CREATE | 5.3. III Международный конкурс молодых композиторов и исполнителей "Новая музыка"
Строка 78: CREATE | 5.30. IX Международный конкурс изобразительного искусства "Искусство наброска"
Строка 80: CREATE | 5.31. Конкурс талантов и творчества детей с инвалидностью, детей с ограниченными возможностями здоровья и педагогов, работающих с данной категорией детей "Я могу! Творчество без границ"
Строка 82: CREATE | 5.32. Международная музыкальная олимпиада
Строка 84: CREATE | 5.33. Международный конкурс органистов имени Л.И. Ройзмана в рамках Международного фестиваля "Музыкальное приношение Иоганну Себастьяну Баху"
Строка 86: CREATE | 5.34. Международный конкурс-фестиваль "ART-Искусство"
Строка 88: CREATE | 5.35. Международный музыкальный конкурс-фестиваль имени Савелия Орлова
Строка 90: CREATE | 5.36. Международный открытый творческий Фестиваль-конкурс "Волшебство акварели"
Строка 92: CREATE | 5.37. Общероссийский конкурс "Молодые дарования России" - всероссийская юношеская творческая олимпиада (с международным участием)
Строка 94: CREATE | 5.4. Международный конкурс научно-исследовательских работ среди обучающихся по программам среднего профессионального образования в области музыкального искусства
Строка 96: CREATE | 5.5. Всероссийский конкурс медиакомпозиций "Звуковая среда современности"
Строка 98: CREATE | 5.7. VI Всероссийский фестиваль детского короткометражного кино "Детский ПитерКиТ"
Строка 100: CREATE | 5.8. VII Открытый общероссийский детский балетный конкурс "Надежда"
Строка 102: CREATE | 5.9. X Международный осенний конкурс изобразительного искусства "Артлицей Петербург. Защитники Отечества в сердце каждого", посвященный Году защитника Отечества
Строка 104: CREATE | 6.1. "Аксиос" - многопрофильная олимпиада ПСТГУ
Строка 106: CREATE | 6.10. II (IX) Открытый всероссийский конкурс вокального искусства "Юный вокалист", посвященный 80-летию Победы в Великой Отечественной войне 1941-1945 гг.
Строка 108: CREATE | 6.100. XVI Открытый Всероссийский конкурс молодых исполнителей на духовых и ударных инструментах им. Ю.А. Большиянова
Строка 110: CREATE | 6.101. XVII Всероссийский детско-юношеский кинофестиваль "Детское кино - детям!"
Строка 112: CREATE | 6.102. XVII Международный детский конкурс "Школьный патент - шаг в будущее!"
Строка 114: CREATE | 6.103. XVII Открытая научно-практическая конференция школьников "Наследники Ломоносова"
Строка 116: CREATE | 6.104. XX международная олимпиада по математике "Систематика"
Строка 118: CREATE | 6.105. XX Республиканский конкурс юных модельеров и дизайнеров одежды "Модный дебют - 2026"
Строка 120: CREATE | 6.106. XXIV Международный конкурс "Виват, баян!"
Строка 122: CREATE | 6.107. XXIV Открытая учебно-исследовательская конференция обучающихся "Ломоносовские чтения"
Строка 124: CREATE | 6.108. XXIX Республиканская олимпиада по школьному краеведению
Строка 126: CREATE | 6.11. II (XV) Всероссийский фестиваль имени П.И. Говорушко "Репродуктор"
Строка 128: CREATE | 6.110. XXVII Всероссийская конференция-конкурс исследовательских работ школьников "Юные исследователи - науке и технике"
Строка 130: CREATE | 6.111. XXX Республиканская
научная конференция-конкурс молодых исследователей
имени академика
В.П. Ларионова "Инникигэ
хардыы"
Строка 132: CREATE | 6.112. XXXI Всероссийский конкурс молодых дарований по изобразительному искусству "Жигулёвская палитра"
Строка 134: CREATE | 6.113. XXXI республиканская научная конференция молодых исследователей "Шаг в будущее"
Строка 136: CREATE | 6.114. XXXII Ежегодный Всероссийский молодёжный фестиваль-конкурс любительских театральных коллективов "Театральная завалинка 2025", посвящённый защитникам Отечества в год 80-летия Победы
Строка 138: CREATE | 6.115. XXXIII Международная космическая олимпиада
Строка 140: CREATE | 6.116. XXVII региональная экологическая научно-практическая конференция школьников "Экополис - город будущего 2025"
Строка 142: CREATE | 6.118. АРТакиада по изобразительному искусству "Изображение и слово"
Строка 144: CREATE | 6.12. II Всероссийская научно-практическая конференция с международным участием "Созвездие открытий"
Строка 146: CREATE | 6.122. Большой Всероссийский фестиваль детского и юношеского творчества, в том числе для детей с ограниченными возможностями здоровья (с международным участием)
Строка 148: CREATE | 6.124. Викторина по финансовой грамотности "Играя - учимся, играя - познаем!"
Строка 150: CREATE | 6.125. Всероссийская (с международным участием) научная конференция научная конференция учащихся имени Н.И. Лобачевского
Строка 152: CREATE | 6.126. Всероссийская (с международным участием) олимпиада по педагогике "Хрустальное яблоко" для обучающихся 9-11 классов общеобразовательных организаций, в том числе, классов психолого-педагогической направленности, на базе ФГАОУ ВО "Северо-Кавказский федеральный университет"
Строка 154: CREATE | 6.127. Всероссийская естественнонаучная олимпиада "Российская Школа Фармацевтов"
Строка 156: CREATE | 6.128. Всероссийская интеллектуальная игра для школьников "Русский мир" 2025/2026 учебного года
Строка 158: CREATE | 6.129. Всероссийская Конференция "Юные техники и изобретатели" в Государственной Думе Федерального Собрания Российской Федерации
Строка 160: CREATE | 6.13. II Всероссийская олимпиада по программированию "Мастер Кода"
Строка 162: CREATE | 6.130. Всероссийская конференция-конкурс исследовательских и проектных работ школьников "Сибмед"
Строка 164: CREATE | 6.131. Всероссийская междисциплинарная олимпиада школьников 5-7 классов "Национальная технологическая олимпиада Junior"
